group_id,user_id,role,joined_at,messages_sent_30d,messages_read_30d,replies_sent_30d,notifications_dismissed_30d,group_muted_by_user
group_014,u_013,member,2026-08-25,0,1,0,4,0
group_014,u_014,member,2026-03-05,3,3,1,6,0
group_014,u_016,member,2026-02-12,3,3,0,0,0
group_014,u_017,member,2026-05-19,9,9,2,1,0
group_014,u_019,member,2026-08-26,2,2,0,2,0
group_014,u_022,member,2026-03-06,0,0,0,1,0
group_014,u_025,member,2026-02-13,2,2,0,4,0
group_014,u_026,admin,2025-05-20,11,11,3,5,0
group_014,u_030,member,2026-08-26,7,7,2,6,0
group_014,u_031,member,2026-03-07,14,14,3,0,0
group_014,u_035,member,2026-02-14,0,4,0,1,0
group_014,u_037,member,2026-05-21,3,3,1,2,0
group_014,u_040,member,2026-08-01,1,1,0,3,0
group_014,u_048,member,2026-08-24,3,5,0,1,0
group_014,u_052,member,2026-03-04,12,14,2,1,1
group_014,u_049,member,2026-02-11,6,9,1,3,0
group_014,u_050,member,2026-05-18,13,24,2,0,0
group_015,u_001,member,2024-10-02,9,9,2,1,0
group_015,u_003,member,2024-01-09,3,3,0,2,0
group_015,u_005,member,2024-04-16,12,12,2,4,0
group_015,u_007,member,2024-07-23,5,5,1,5,0
group_015,u_009,member,2024-10-03,0,3,0,2,0
group_015,u_011,member,2024-01-10,10,10,2,0,0
group_015,u_013,member,2024-04-17,7,7,2,1,0
group_015,u_017,member,2024-07-24,6,7,1,2,0
group_015,u_021,admin,2023-10-04,3,3,0,1,0
group_015,u_026,member,2024-01-11,0,1,0,4,0
group_015,u_031,member,2024-04-18,8,8,1,5,0
group_015,u_036,member,2024-07-25,12,12,5,5,0
group_015,u_054,member,2024-10-02,7,12,1,1,0
group_015,u_051,member,2024-01-09,8,8,1,4,1
group_016,u_003,member,2024-12-07,5,5,0,2,0
group_016,u_005,member,2024-03-14,8,8,2,4,0
group_016,u_006,member,2024-06-21,17,17,3,5,0
group_016,u_009,member,2024-09-01,22,22,6,2,0
group_016,u_011,admin,2023-12-08,8,8,1,0,0
group_016,u_014,member,2024-03-15,11,11,2,1,0
group_016,u_017,member,2024-06-22,4,5,0,2,0
group_016,u_019,member,2024-09-02,11,11,2,3,0
group_016,u_022,member,2024-12-09,3,3,0,1,0
group_016,u_027,member,2024-03-16,1,1,0,5,0
group_016,u_030,member,2024-06-23,8,8,2,6,0
group_016,u_035,member,2024-09-03,1,1,0,0,0
group_016,u_038,member,2024-12-10,3,3,0,1,0
group_016,u_054,member,2024-12-07,13,23,2,1,0
group_016,u_051,member,2024-03-14,5,5,1,4,1
group_016,u_049,member,2024-06-21,11,15,2,3,0
group_017,u_003,member,2024-02-12,14,14,3,3,0
group_017,u_007,member,2024-05-19,10,10,2,5,0
group_017,u_009,member,2024-08-26,9,9,1,2,0
group_017,u_011,member,2024-11-06,4,4,1,0,0
group_017,u_014,admin,2023-02-13,15,15,7,1,0
group_017,u_017,member,2024-05-20,1,2,0,2,0
group_017,u_022,member,2024-08-27,7,7,1,1,0
group_017,u_024,member,2024-11-07,6,6,2,4,0
group_017,u_030,member,2024-02-14,8,8,1,5,0
group_017,u_036,member,2024-05-21,1,1,0,5,0
group_017,u_038,admin,2023-08-01,10,10,2,0,0
group_017,u_041,member,2024-02-12,7,15,1,1,0
group_017,u_054,member,2024-05-19,3,7,0,2,0
group_017,u_051,member,2024-08-26,5,5,1,4,1
group_018,u_004,member,2025-04-17,12,12,2,5,0
group_018,u_008,member,2025-07-24,2,3,1,9,1
group_018,u_012,member,2025-10-04,10,10,2,0,0
group_018,u_018,member,2025-01-11,22,22,5,1,0
group_018,u_021,member,2025-04-18,0,1,0,1,0
group_018,u_025,member,2025-07-25,17,17,5,3,0
group_018,u_026,member,2025-10-05,24,24,6,4,0
group_018,u_029,member,2025-01-12,25,25,6,5,0
group_018,u_035,admin,2024-04-19,19,19,11,2,0
group_018,u_037,member,2025-07-26,0,1,0,0,0
group_018,u_038,member,2025-10-06,7,7,1,1,0
group_018,u_039,member,2025-01-13,16,16,4,2,0
group_018,u_054,member,2025-04-17,6,11,1,1,0
group_018,u_051,member,2025-07-24,7,7,1,4,1
group_018,u_052,member,2025-10-04,3,5,0,1,1
group_019,u_005,member,2025-06-22,3,3,0,6,0
group_019,u_009,admin,2024-09-02,14,26,12,0,0
group_019,u_013,member,2025-12-09,10,10,3,1,0
group_019,u_015,member,2025-03-16,20,20,5,2,0
group_019,u_016,member,2025-06-23,4,4,0,3,0
group_019,u_018,member,2025-09-03,5,7,1,4,0
group_019,u_022,admin,2024-12-10,7,7,1,2,0
group_019,u_024,member,2025-03-17,13,13,4,6,0
group_019,u_028,member,2025-06-24,0,2,0,0,0
group_019,u_033,member,2025-09-04,2,2,1,9,1
group_019,u_036,member,2025-12-11,10,10,3,2,0
group_019,u_038,member,2025-03-18,3,3,0,3,0
group_019,u_040,member,2025-06-25,1,1,0,9,1
group_019,u_051,member,2025-06-22,4,4,1,4,1
group_019,u_049,member,2025-09-02,10,13,2,2,0
group_019,u_050,member,2025-12-09,14,25,2,3,0
group_019,u_052,member,2025-03-16,11,14,2,1,1
group_020,u_001,member,2024-08-27,12,12,3,0,0
group_020,u_006,member,2024-11-07,5,5,1,1,0
group_020,u_010,member,2024-02-14,5,5,1,2,0
group_020,u_011,admin,2023-05-21,12,12,5,2,0
group_020,u_014,member,2024-08-01,13,13,2,4,0
group_020,u_017,member,2024-11-08,22,22,6,5,0
group_020,u_019,member,2024-02-15,6,6,1,6,0
group_020,u_021,member,2024-05-22,6,6,1,0,0
group_020,u_022,member,2024-08-02,0,0,0,0,0
group_020,u_025,member,2024-11-09,6,6,2,2,0
group_020,u_027,member,2024-02-16,6,6,1,3,0
group_020,u_030,member,2024-05-23,5,5,1,4,0
group_020,u_032,member,2024-08-03,13,13,2,2,0
group_020,u_035,member,2024-11-10,10,10,3,6,0
group_020,u_036,member,2024-02-17,15,15,5,0,0
group_020,u_040,member,2024-05-24,1,1,0,1,0
group_020,u_043,admin,2023-08-27,20,20,5,1,0
group_020,u_044,member,2024-11-07,4,10,0,2,0
group_020,u_053,admin,2023-02-14,22,22,6,3,0
group_021,u_005,admin,2024-10-05,12,12,6,1,0
group_021,u_009,member,2025-01-12,6,6,1,1,0
group_021,u_013,member,2025-04-19,4,4,1,3,0
group_021,u_015,member,2025-07-26,11,11,3,4,0
group_021,u_018,member,2025-10-06,0,5,0,5,0
group_021,u_022,admin,2024-01-13,3,3,1,2,0
group_021,u_024,member,2025-04-20,5,5,0,0,0
group_021,u_028,member,2025-07-27,2,5,0,1,0
group_021,u_033,member,2025-10-07,2,2,0,9,1
group_021,u_036,member,2025-01-14,0,1,0,3,0
group_021,u_038,member,2025-04-21,4,4,0,4,0
group_021,u_040,member,2025-07-01,3,3,1,5,0
group_021,u_054,member,2025-10-05,0,1,0,1,0
group_021,u_051,member,2025-01-12,2,2,0,4,1
group_021,u_052,member,2025-04-19,1,3,0,1,1
group_021,u_049,member,2025-07-26,4,7,0,0,0
group_022,u_001,member,2025-12-10,9,9,2,1,0
group_022,u_005,member,2025-03-17,2,2,1,3,0
group_022,u_007,member,2025-06-24,12,12,2,4,0
group_022,u_011,member,2025-09-04,10,10,2,4,0
group_022,u_013,member,2025-12-11,0,3,0,5,0
group_022,u_018,member,2025-03-18,10,11,2,0,0
group_022,u_021,admin,2024-06-25,10,10,3,0,0
group_022,u_022,member,2025-09-05,7,7,2,1,0
group_022,u_027,member,2025-12-12,1,1,0,3,0
group_022,u_030,member,2025-03-19,0,1,0,4,0
group_022,u_032,admin,2024-06-26,12,12,2,2,0
group_022,u_036,member,2025-09-06,13,13,4,5,0
group_022,u_038,member,2025-12-13,1,1,0,0,0
group_022,u_040,member,2025-03-20,1,1,0,9,1
group_022,u_048,member,2025-12-10,14,22,2,1,0
group_022,u_052,member,2025-03-17,6,8,1,1,1
group_022,u_050,member,2025-06-24,1,4,0,3,0
group_023,u_004,member,2025-02-15,3,3,0,3,0
group_023,u_008,member,2025-05-22,9,9,2,4,0
group_023,u_012,member,2025-08-02,5,5,0,5,0
group_023,u_015,member,2025-11-09,19,19,5,6,0
group_023,u_016,admin,2024-02-16,15,15,7,0,0
group_023,u_018,member,2025-05-23,12,13,3,1,0
group_023,u_020,member,2025-08-03,11,11,2,2,0
group_023,u_024,admin,2024-11-10,13,13,5,3,0
group_023,u_029,member,2025-02-17,20,20,4,4,0
group_023,u_031,member,2025-05-24,0,3,0,5,0
group_023,u_034,member,2025-08-04,3,8,0,6,0
group_023,u_037,member,2025-11-11,6,6,3,0,0
group_023,u_039,member,2025-02-18,7,7,0,1,0
group_023,u_054,member,2025-02-15,14,24,2,1,0
group_023,u_051,member,2025-05-22,4,4,0,4,1
group_023,u_052,member,2025-08-02,5,7,1,1,1
