message_id,action,message_type,reason,confidence,evidence_message_ids
msg_020,mute,scam,"The message requests sensitive credentials or payment through an unsafe, high-pressure flow.",0.96,message_0096;message_0095
msg_017,mute,scam,"The message requests sensitive credentials or payment through an unsafe, high-pressure flow.",0.96,message_0090;message_0089
msg_058,mute,forward,This is a repetitive forwarded chain or unsupported tip with no actionable value.,0.90,message_0241;message_0040
msg_026,mute,scam,"The message requests sensitive credentials or payment through an unsafe, high-pressure flow.",0.96,message_0032;message_0107
msg_047,notify,urgent,A trusted group message contains a time-sensitive update or direct request.,0.87,message_0150;message_0149
msg_046,mute,scam,"The message requests sensitive credentials or payment through an unsafe, high-pressure flow.",0.96,message_0148;message_0147
msg_042,notify,urgent,A trusted group message contains a time-sensitive update or direct request.,0.87,message_0140;message_0058
msg_079,mute,scam,"The message requests sensitive credentials or payment through an unsafe, high-pressure flow.",0.96,message_0045;message_0023
msg_098,notify,urgent,A direct message needs a timely response or action from the user.,0.86,message_0359;message_0226
msg_037,digest,unknown,This is safe group information that can be reviewed in a later digest.,0.79,message_0001;message_0269
msg_007,digest,event,This is safe group information that can be reviewed in a later digest.,0.79,message_0070;message_0069
msg_085,mute,spam,The business sender cannot be verified as a trusted source.,0.84,message_0221
msg_001,notify,urgent,A trusted group message contains a time-sensitive update or direct request.,0.87,message_0240;message_0057
msg_021,notify,payment,A trusted group message contains a time-sensitive update or direct request.,0.87,message_0098;message_0068
msg_028,mute,promotion,This is promotional content that the user has opted out of or tends to dismiss.,0.87,message_0034;message_0112
msg_012,digest,unknown,This is safe group information that can be reviewed in a later digest.,0.79,message_0079;message_0247
msg_064,notify,payment,A trusted group message contains a time-sensitive update or direct request.,0.87,message_0201;message_0183
msg_103,notify,urgent,A direct message needs a timely response or action from the user.,0.86,message_0065;message_0382
msg_031,notify,urgent,A trusted group message contains a time-sensitive update or direct request.,0.87,message_0117;message_0249
msg_057,notify,urgent,A trusted group message contains a time-sensitive update or direct request.,0.87,message_0003;message_0169
msg_087,digest,unknown,This is safe group information that can be reviewed in a later digest.,0.79,message_0204;message_0203
msg_067,digest,payment,This is safe group information that can be reviewed in a later digest.,0.79,message_0098;message_0068
msg_039,notify,payment,A trusted group message contains a time-sensitive update or direct request.,0.87,message_0051;message_0037
msg_082,digest,unknown,This is safe group information that can be reviewed in a later digest.,0.79,message_0397;message_0218
msg_066,mute,promotion,This is promotional content that the user has opted out of or tends to dismiss.,0.87,message_0402;message_0257
msg_049,digest,promotion,This is a legitimate low-priority offer that can be reviewed later.,0.80,message_0154;message_0291
msg_015,mute,scam,"The message requests sensitive credentials or payment through an unsafe, high-pressure flow.",0.96,message_0199;message_0085
msg_051,mute,promotion,This is promotional content that the user has opted out of or tends to dismiss.,0.87,message_0257;message_0402
msg_097,digest,personal,This direct message is safe but does not need to interrupt the user now.,0.79,message_0359;message_0225
msg_089,digest,promotion,This is a legitimate low-priority offer that can be reviewed later.,0.80,none
msg_053,notify,urgent,A trusted group message contains a time-sensitive update or direct request.,0.87,message_0161;message_0411
msg_059,mute,scam,"The message requests sensitive credentials or payment through an unsafe, high-pressure flow.",0.96,message_0213;message_0195
msg_024,mute,promotion,This is promotional content that the user has opted out of or tends to dismiss.,0.87,message_0257;message_0402
msg_072,mute,scam,"The message requests sensitive credentials or payment through an unsafe, high-pressure flow.",0.96,message_0199;message_0085
msg_036,mute,scam,An unverified business sender requests a financial or account-security action.,0.91,message_0283;message_0127
msg_076,mute,scam,An unverified business sender requests a financial or account-security action.,0.91,message_0207;message_0208
msg_055,notify,urgent,A trusted group message contains a time-sensitive update or direct request.,0.87,message_0166;message_0165
msg_102,notify,urgent,A direct message needs a timely response or action from the user.,0.86,message_0371;message_0230
msg_080,notify,urgent,A trusted group message contains a time-sensitive update or direct request.,0.87,message_0216;message_0190
msg_093,digest,business_update,This verified business update is legitimate but does not require an immediate interruption.,0.79,message_0398;message_0349
msg_034,mute,greeting,This is a repetitive forwarded chain or unsupported tip with no actionable value.,0.90,message_0013;message_0241
msg_035,digest,payment,This verified business update is legitimate but does not require an immediate interruption.,0.79,message_0281;message_0125
msg_101,digest,personal,This direct message is safe but does not need to interrupt the user now.,0.79,message_0268;message_0370
msg_041,digest,urgent,This verified business update is legitimate but does not require an immediate interruption.,0.79,message_0137;message_0138
msg_011,mute,greeting,This is a repetitive forwarded chain or unsupported tip with no actionable value.,0.90,message_0014;message_0171
msg_110,mute,scam,"The message requests sensitive credentials or payment through an unsafe, high-pressure flow.",0.96,message_0238;message_0381
msg_095,mute,scam,"The message requests sensitive credentials or payment through an unsafe, high-pressure flow.",0.96,message_0201;message_0183
msg_074,mute,promotion,This is promotional content that the user has opted out of or tends to dismiss.,0.87,message_0203;message_0204
msg_073,notify,urgent,A trusted group message contains a time-sensitive update or direct request.,0.87,message_0202;message_0201
msg_054,mute,scam,"The message requests sensitive credentials or payment through an unsafe, high-pressure flow.",0.96,message_0164;message_0163
msg_068,digest,unknown,This is safe group information that can be reviewed in a later digest.,0.79,message_0191;message_0192
msg_100,notify,urgent,A direct message needs a timely response or action from the user.,0.86,message_0362;message_0228
msg_062,digest,event,This is safe group information that can be reviewed in a later digest.,0.79,message_0043;message_0001
msg_096,digest,personal,This direct message is safe but does not need to interrupt the user now.,0.79,none
msg_043,notify,urgent,A trusted group message contains a time-sensitive update or direct request.,0.87,message_0216;message_0215
msg_077,notify,event,A trusted group message contains a time-sensitive update or direct request.,0.87,message_0051;message_0403
msg_081,digest,unknown,This is safe group information that can be reviewed in a later digest.,0.79,message_0217
msg_025,notify,business_update,A verified business sent a time-sensitive update that matches the user's relationship.,0.89,message_0239;message_0004
msg_084,digest,unknown,This verified business update is legitimate but does not require an immediate interruption.,0.79,none
msg_022,mute,scam,The payment request uses urgent pressure and an unsafe verification or payment instruction.,0.94,message_0099;message_0100
